iter	Passed	Remaining
0	2	235
1	4	224
2	6	212
3	8	196
4	10	196
5	12	197
6	14	194
7	16	192
8	19	193
9	21	189
10	23	187
11	25	185
12	27	182
13	29	179
14	31	177
15	33	175
16	35	172
17	37	170
18	39	166
19	40	162
20	42	158
21	43	155
22	45	151
23	46	147
24	47	143
25	49	139
26	50	136
27	51	132
28	52	129
29	53	125
30	54	122
31	56	119
32	57	115
33	58	112
34	59	109
35	60	106
36	61	103
37	62	101
38	62	98
39	63	95
40	64	93
41	65	90
42	66	87
43	67	85
44	67	83
45	68	80
46	69	78
47	70	76
48	71	74
49	72	72
50	73	70
51	74	68
52	75	66
53	76	65
54	77	63
55	78	61
56	79	59
57	80	58
58	81	56
59	82	55
60	83	53
61	84	51
62	85	50
63	86	48
64	88	47
65	89	46
66	90	44
67	91	43
68	92	41
69	93	40
70	94	38
71	95	37
72	96	35
73	97	34
74	98	32
75	98	31
76	99	29
77	100	28
78	101	27
79	102	25
80	103	24
81	104	22
82	105	21
83	106	20
84	107	18
85	108	17
86	109	16
87	110	15
88	111	13
89	111	12
90	112	11
91	113	9
92	114	8
93	115	7
94	116	6
95	117	4
96	119	3
97	120	2
98	121	1
99	122	0
